,group,names,scores,logfoldchanges,pvals,pvals_adj
0,Floor,RNA18S5,3.6214461,0.9066929,0.00029296068701015123,1.0
1,Floor,MT-RNR1,3.1324034,0.7180961,0.0017338144658882858,1.0
2,Floor,RNA28S5,3.0670571,0.70458937,0.0021617748030453516,1.0
3,Floor,PIM1,2.856263,3.338627,0.004286600344844127,1.0
4,Floor,RGS1,2.7993484,2.4096053,0.005120584959925905,1.0
5,Floor,CCNL1,2.704491,1.2242078,0.0068409124020697865,1.0
6,Floor,MAP3K8,2.6560082,2.6637402,0.007907166751197263,1.0
7,Floor,ENSA,2.5885541,1.634902,0.009637979956372333,1.0
8,Floor,SOX4,2.5716906,1.6585566,0.010120329699736108,1.0
9,Floor,ANXA11,2.4726171,1.5119532,0.013412770620914087,1.0
10,Floor,HERPUD1,2.4325664,1.3065413,0.014992245056587462,1.0
11,Floor,DAZAP1,2.3714359,2.095581,0.017719115835738417,1.0
12,Floor,SEC61B,2.219664,1.2537445,0.026441578762395838,1.0
13,Floor,RGS2,2.2175562,1.4245874,0.026585111318134617,1.0
14,Floor,ENPP4,2.116375,3.6678648,0.03431293763157763,1.0
15,Floor,TPRG1L,2.0784318,1.6209155,0.03766959766694186,1.0
16,Floor,EIF3C,2.036273,1.3581598,0.04172294623681563,1.0
17,Floor,CLIC4,2.0278413,3.1215785,0.04257645180953371,1.0
18,Floor,H3F3B,1.9709268,0.6768287,0.04873224961097722,1.0
19,Floor,CDKN1A,1.9393077,2.909601,0.05246388796478965,1.0
20,Floor,TMSB10,1.9329839,0.6970809,0.05323819097108073,1.0
21,Floor,SNHG8,1.9245521,1.981386,0.05428542332509124,1.0
22,Floor,MT-ND2,1.9224441,0.60812116,0.05454990041679379,1.0
23,Floor,XRN2,1.9140123,1.4496355,0.05561857997989608,1.0
24,Floor,TMSB4X,1.9013647,0.7376215,0.05725426326989069,1.0
25,Floor,ZFP36,1.8866091,1.0889859,0.0592129256199834,1.0
26,Floor,CXCR4,1.8444502,1.4532294,0.06511755560464741,1.0
27,Floor,NRAS,1.8254787,1.6676236,0.06792881920508484,1.0
28,Floor,C12orf75,1.8212628,0.9100737,0.06856691279526003,1.0
29,Floor,KCNK17,1.8043993,2.2963765,0.07116873405251782,1.0
30,Floor,SOCS3,1.7664564,2.229251,0.07731932422950809,1.0
31,Floor,ZNRD1-AS1,1.7622404,2.2404537,0.07802868391971393,1.0
32,Floor,PTMA,1.7622404,0.70717543,0.07802868391971393,1.0
33,Floor,ELMSAN1,1.7580246,1.1479425,0.07874333334805741,1.0
34,Floor,ITPK1,1.7538086,2.165879,0.07946329916388757,1.0
35,Floor,ZFAS1,1.7453768,1.569251,0.08091928659685924,1.0
36,Floor,NDUFA9,1.7158657,2.057279,0.08618662923562828,1.0
37,Floor,KLF9,1.703218,2.1301637,0.08852727508437339,1.0
38,Floor,LAPTM5,1.703218,0.67208195,0.08852727508437339,1.0
39,Floor,ATP8B2,1.6800307,2.162572,0.09295135271771686,1.0
40,Floor,WDR11,1.6800307,2.0099654,0.09295135271771686,1.0
41,Floor,RPS24,1.6800307,0.6989643,0.09295135271771686,1.0
42,Floor,DVL2,1.6715989,3.4208212,0.09460344650067334,1.0
43,Floor,TSC22D4,1.6505195,1.8950193,0.09883673949879263,1.0
44,Floor,RPS11,1.6484115,0.40346265,0.09926825727542025,1.0
45,Floor,AKT3,1.6484115,3.5066307,0.09926825727542025,1.0
46,Floor,AKIRIN2,1.6294401,1.8032832,0.10321990376699118,1.0
47,Floor,TSPAN13,1.6231161,0.7804313,0.10456457034446116,1.0
48,Floor,IRS2,1.6083605,2.8994305,0.10775622914279658,1.0
49,Floor,SSR4,1.6020367,0.8405157,0.10914748219404233,1.0
50,Floor,MTHFR,1.5893891,2.8994305,0.11197257492793532,1.0
51,Floor,DIAPH2,1.5851732,1.7036289,0.11292698568373628,1.0
52,Floor,ZC3HAV1,1.5767415,1.3686407,0.11485503168999016,1.0
53,Floor,ZDHHC17,1.5746335,0.84300864,0.11534106703287987,1.0
54,Floor,RFC1,1.5493382,1.7081081,0.12130044699789859,1.0
55,Floor,RGL2,1.5472302,1.6642901,0.12180773801227984,1.0
56,Floor,NDRG1,1.5324746,0.82662046,0.12540535297159122,1.0
57,Floor,CALU,1.519827,1.61364,0.12855446801854764,1.0
58,Floor,PGK1,1.5113952,0.88578314,0.13068779132963976,1.0
59,Floor,GLUL,1.5071793,1.2501469,0.1317647008649334,1.0
60,Floor,SIK1,1.5050714,1.4176406,0.13230572831831897,1.0
61,Floor,PARK7,1.4966396,0.6438766,0.13448706045387515,1.0
62,Floor,DUSP5,1.4924237,1.0661626,0.13558810238609492,1.0
63,Floor,RPL32,1.4924237,0.5948133,0.13558810238609492,1.0
64,Floor,LAPTM4A,1.4903158,1.3504621,0.13614122789552124,1.0
65,Floor,SCCPDH,1.4755602,2.4668217,0.14006200470980507,1.0
66,Floor,SLC2A3,1.443941,2.2465558,0.14875556617587377,1.0
67,Floor,SUMO3,1.4355092,1.1866978,0.15114203451345085,1.0
68,Floor,MGRN1,1.4249696,2.2076917,0.15416600795966967,1.0
69,Floor,HLA-DQA2,1.4249696,2.28807,0.15416600795966967,1.0
70,Floor,RDH11,1.4207536,1.4519017,0.1553883902724061,1.0
71,Floor,HIST1H1E,1.408106,1.2525582,0.15909968784972617,1.0
72,Floor,TCEB2,1.4038901,1.4333154,0.1603515772561972,1.0
73,Floor,HSP90AA1,1.3975663,0.43741682,0.1622433520768919,1.0
74,Floor,SLC3A2,1.3933504,0.91357505,0.16351386054635675,1.0
75,Floor,BCL7A,1.3933504,1.0475844,0.16351386054635675,1.0
76,Floor,ANAPC11,1.3764869,1.100922,0.1686709580286092,1.0
77,Floor,AKAP17A,1.372271,1.174036,0.16997910347332124,1.0
78,Floor,STRAP,1.372271,1.3570188,0.16997910347332124,1.0
79,Floor,PLA2G16,1.372271,1.5090015,0.16997910347332124,1.0
80,Floor,USP24,1.370163,1.0358262,0.1706360211548268,1.0
81,Floor,TMF1,1.3596233,1.4557247,0.1739491616426606,1.0
82,Floor,SOD2,1.3575153,1.3721397,0.1746175179411884,1.0
83,Floor,TMEM173,1.3532995,1.9078311,0.1759599788902042,1.0
84,Floor,COX7A2,1.3511915,1.0950844,0.17663408853423734,1.0
85,Floor,CAPZA1,1.3448677,0.9484462,0.17866796389631956,1.0
86,Floor,COASY,1.3427597,1.9529148,0.17934977936601282,1.0
87,Floor,IFNGR2,1.3427597,4.78482,0.17934977936601282,1.0
88,Floor,GAPDH,1.3364359,1.4197336,0.18140683100051558,1.0
89,Floor,SRP68,1.3343279,1.9078311,0.18209639135618683,1.0
90,Floor,EIF4EBP2,1.3280041,1.2980206,0.18417673545334512,1.0
91,Floor,MYD88,1.3258963,1.042049,0.18487407909155007,1.0
92,Floor,FAM168A,1.3237883,1.9832432,0.185573374470566,1.0
93,Floor,UQCRB,1.3090327,0.98726225,0.19052328660988305,1.0
94,Floor,RWDD1,1.3069247,1.8039527,0.19123827947606087,1.0
95,Floor,FAM105A,1.3048167,1.1251501,0.19195524480750736,1.0
96,Floor,PCED1B-AS1,1.3006009,1.2410933,0.19339510184249498,1.0
97,Floor,COMT,1.3006009,1.3701074,0.19339510184249498,1.0
98,Floor,INSIG1,1.2984929,1.7408825,0.1941179980056582,1.0
99,Floor,KBTBD2,1.2984929,1.9156188,0.1941179980056582,1.0
100,Floor,AKR1A1,1.2942771,0.96391547,0.19556973668616973,1.0
101,Floor,LMF2,1.2900611,1.7512755,0.1970294184541459,1.0
102,Floor,ZNF467,1.2879533,3.7802882,0.19776224343280258,1.0
103,Floor,RPL18A,1.2858453,0.4599507,0.19849706068401785,1.0
104,Floor,ASPH,1.2837373,0.9748829,0.1992338723500512,1.0
105,Floor,PHIP,1.2816294,0.95993197,0.19997268056122752,1.0
106,Floor,SEMA7A,1.2816294,1.840078,0.19997268056122752,1.0
107,Floor,ZBTB1,1.2795215,1.3301692,0.2007134874358779,1.0
108,Floor,UBE2I,1.2731977,1.2181296,0.2029479210427918,1.0
109,Floor,NFIL3,1.2710897,3.7362444,0.203696743512635,1.0
110,Floor,RPS20,1.2647659,0.45970705,0.2059552735286354,1.0
111,Floor,PHB,1.26055,1.7345507,0.207471032673339,1.0
112,Floor,ARF1,1.2563341,0.60033524,0.20899486850038818,1.0
113,Floor,FKBP1A,1.2542261,1.2463179,0.20975982011780636,1.0
114,Floor,VARS,1.2521182,1.6953528,0.21052679681793984,1.0
115,Floor,RPS16,1.2436864,0.3731347,0.21361499313287424,1.0
116,Floor,FOSL2,1.2436864,1.6305583,0.21361499313287424,1.0
117,Floor,LRRC37A,1.2436864,1.6102617,0.21361499313287424,1.0
118,Floor,KDM1B,1.2394705,1.7533591,0.21517129171651816,1.0
119,Floor,CSF2RA,1.2394705,1.2316608,0.21517129171651816,1.0
120,Floor,HARS2,1.2331467,3.1907892,0.2175210323258978,1.0
121,Floor,PSME3,1.2331467,1.6681314,0.2175210323258978,1.0
122,Floor,RBM7,1.2331467,3.1907892,0.2175210323258978,1.0
123,Floor,CUL4A,1.2268229,1.5580319,0.2198891682751808,1.0
124,Floor,RNF130,1.224715,0.710694,0.22068264320437336,1.0
125,Floor,RPS17L,1.220499,0.51253194,0.2222757481325135,1.0
126,Floor,RUNX1,1.220499,1.160203,0.2222757481325135,1.0
127,Floor,NUDT16,1.220499,3.2462788,0.2222757481325135,1.0
128,Floor,DAPK2,1.2162832,1.5938727,0.22387707147189273,1.0
129,Floor,QARS,1.2099594,0.9097545,0.22629449610395902,1.0
130,Floor,MEF2D,1.2057434,1.140672,0.22791642530963852,1.0
131,Floor,BTG3,1.2057434,2.9661267,0.22791642530963852,1.0
132,Floor,VDAC1,1.2057434,1.6044406,0.22791642530963852,1.0
133,Floor,ZER1,1.1994196,2.849011,0.23036482136652492,1.0
134,Floor,SET,1.1930958,0.6998471,0.2328318588692222,1.0
135,Floor,GADD45B,1.1909878,1.2174623,0.23365835463048956,1.0
136,Floor,ABHD15,1.1888798,0.68347967,0.23448692794400017,1.0
137,Floor,MT-ATP6,1.184664,0.355612,0.23615031333857306,1.0
138,Floor,DNTTIP2,1.182556,1.1875021,0.23698512843834696,1.0
139,Floor,DTX2,1.1783402,2.7712102,0.23866101087895186,1.0
140,Floor,TET2,1.1783402,0.8370622,0.23866101087895186,1.0
141,Floor,HSD17B10,1.1720164,1.441357,0.24119048700489998,1.0
142,Floor,TYROBP,1.1720164,0.5709808,0.24119048700489998,1.0
143,Floor,TSTD1,1.1699084,1.5085465,0.24203782542945673,1.0
144,Floor,THOC7,1.1699084,1.6565138,0.24203782542945673,1.0
145,Floor,CCDC57,1.1699084,1.5085465,0.24203782542945673,1.0
146,Floor,YTHDF2,1.1678004,1.096278,0.2428872560535733,1.0
147,Floor,SLC30A9,1.1635846,1.5840223,0.24459239941426314,1.0
148,Floor,SKIV2L2,1.1614766,1.4745915,0.2454481148696147,1.0
149,Floor,PPP1R15B,1.1614766,1.4509388,0.2454481148696147,1.0
150,Floor,ATP5G3,1.1551528,0.8556345,0.2480278523263817,1.0
151,Floor,H3F3C,1.1530448,1.3080573,0.24889196619410736,1.0
152,Floor,GTF2B,1.150937,2.5990129,0.24975818289007656,1.0
153,Floor,SYNE3,1.150937,2.5990129,0.24975818289007656,1.0
154,Floor,CFP,1.1382892,2.4200404,0.2549997118593359,1.0
155,Floor,GTF3A,1.1382892,0.7138469,0.2549997118593359,1.0
156,Floor,CLIP1,1.1361814,1.4719797,0.2558806827219561,1.0
157,Floor,SPG7,1.1361814,1.3769271,0.2558806827219561,1.0
158,Floor,PNRC2,1.1298575,1.0591477,0.2585362745702574,1.0
159,Floor,ZMYM3,1.1193178,2.7596521,0.2630045911731921,1.0
160,Floor,NPAT,1.1172098,2.3613892,0.26390461355477934,1.0
161,Floor,MTCH1,1.1151019,1.0460395,0.26480675799935083,1.0
162,Floor,TTC19,1.112994,1.480473,0.26571102549223213,1.0
163,Floor,STAT5A,1.1087781,0.9744979,0.26752593348132214,1.0
164,Floor,FAM96B,1.0982383,1.1532308,0.27210042256957245,1.0
165,Floor,VHL,1.0961304,1.4598078,0.2730217079213355,1.0
166,Floor,TRMT1L,1.0961304,2.3049576,0.2730217079213355,1.0
167,Floor,MFSD9,1.0961304,2.3049576,0.2730217079213355,1.0
168,Floor,SLC1A4,1.0961304,2.3049576,0.2730217079213355,1.0
169,Floor,FBXO25,1.0961304,2.3049576,0.2730217079213355,1.0
170,Floor,LTBP3,1.0961304,2.3049576,0.2730217079213355,1.0
171,Floor,SNRPG,1.0961304,2.3049576,0.2730217079213355,1.0
172,Floor,CBX4,1.0940225,0.90462166,0.273945124437474,1.0
173,Floor,POLG,1.0898066,1.3023639,0.27579835421502163,1.0
174,Floor,PRDX3,1.0876986,1.3417028,0.27672816905974884,1.0
175,Floor,API5,1.0876986,1.3199531,0.27672816905974884,1.0
176,Floor,SAP30BP,1.0855907,1.020125,0.27766011823538816,1.0
177,Floor,IRAK3,1.0834827,2.1071522,0.2785942024906204,1.0
178,Floor,TMEM167A,1.0792669,1.3111341,0.2804687791481343,1.0
179,Floor,MCL1,1.075051,0.7440874,0.2823519046752395,1.0
180,Floor,EPT1,1.0687271,2.1771507,0.2851926337537264,1.0
181,Floor,Y-RNA,1.0687271,2.3395483,0.2851926337537264,1.0
182,Floor,ZDHHC20,1.0687271,2.1771507,0.2851926337537264,1.0
183,Floor,GRAMD4,1.0624033,2.1071522,0.2880526267115834,1.0
184,Floor,PDXDC1,1.0602953,1.2897983,0.28901024127801855,1.0
185,Floor,WBSCR22,1.0581875,1.0073154,0.28996999854636885,1.0
186,Floor,CLCN5,1.0581875,1.1640286,0.28996999854636885,1.0
187,Floor,PIM3,1.0581875,1.2958062,0.28996999854636885,1.0
188,Floor,MAD1L1,1.0560795,2.212562,0.2909318990368779,1.0
189,Floor,N4BP2,1.0560795,0.77265763,0.2909318990368779,1.0
190,Floor,C1orf27,1.0497557,1.9762437,0.2938304647749268,1.0
191,Floor,INTS10,1.0476477,1.5124016,0.29480094299769133,1.0
192,Floor,NAA20,1.0434319,1.231158,0.29674833651690913,1.0
193,Floor,TRAPPC3,1.0413239,1.2687463,0.29772525261940497,1.0
194,Floor,ARL6IP6,1.0413239,2.0593963,0.29772525261940497,1.0
195,Floor,BACH1,1.0413239,2.0593963,0.29772525261940497,1.0
196,Floor,RASA2,1.0413239,2.0593963,0.29772525261940497,1.0
197,Floor,PTPN1,1.0392159,0.9152547,0.2987043154575042,1.0
198,Floor,NCOA4,1.037108,0.61259127,0.29968552538863613,1.0
199,Floor,ITPRIP,1.0350001,2.286443,0.3006688827519117,1.0
200,Floor,SP2,1.0350001,1.9945647,0.3006688827519117,1.0
201,Floor,IL10RA,1.0350001,0.7660013,0.3006688827519117,1.0
202,Floor,KIAA0947,1.0350001,1.4016896,0.3006688827519117,1.0
203,Floor,FAM46A,1.0350001,1.9945647,0.3006688827519117,1.0
204,Floor,PRKRA,1.0328921,1.2395418,0.3016543878680795,1.0
205,Floor,SMAP2,1.0286763,1.3530663,0.3036318425500071,1.0
206,Floor,NFATC2,1.0286763,1.93241,0.3036318425500071,1.0
207,Floor,PTCRA,1.0265683,0.90007967,0.30462379266505246,1.0
208,Floor,KLF4,1.0265683,1.2848929,0.30462379266505246,1.0
209,Floor,SEPHS1,1.0244603,1.2108648,0.305617891631474,1.0
210,Floor,RASD1,1.0223525,1.3189605,0.30661413967754503,1.0
211,Floor,PAFAH2,1.0181365,1.2992388,0.30861308382856123,1.0
212,Floor,NDUFB8,1.0160285,0.86821914,0.30961578029675396,1.0
213,Floor,SMARCB1,1.0160285,1.1826956,0.30961578029675396,1.0
214,Floor,KIAA0930,1.0160285,0.716272,0.30961578029675396,1.0
215,Floor,C9orf142,1.0160285,0.96387,0.30961578029675396,1.0
216,Floor,TMEM55A,1.0139207,1.9502026,0.3106206265710071,1.0
217,Floor,EAF1,1.0139207,1.9502026,0.3106206265710071,1.0
218,Floor,SLC4A1AP,1.0139207,1.9502026,0.3106206265710071,1.0
219,Floor,QKI,1.0054889,0.6933513,0.31466151214015237,1.0
220,Floor,CCT8,1.0012729,0.96737564,0.3166948563669709,1.0
221,Floor,RPL12,1.0012729,0.46276167,0.3166948563669709,1.0
222,Floor,POLR2E,0.9970571,1.163007,0.3187368019828055,1.0
223,Floor,ANAPC5,0.9970571,0.8290533,0.3187368019828055,1.0
224,Floor,ZBTB8OS,0.9928412,2.0331492,0.3207873489269135,1.0
225,Floor,CREBRF,0.99073327,1.0638412,0.32181584779427286,1.0
226,Floor,MFNG,0.98651737,1.8483874,0.32387929594575116,1.0
227,Floor,FAM115A,0.98651737,1.8483874,0.32387929594575116,1.0
228,Floor,OSBPL8,0.98440945,0.51401234,0.32491424502245314,1.0
229,Floor,CUEDC1,0.98440945,0.8405158,0.32491424502245314,1.0
230,Floor,GSK3B,0.98019356,1.0899755,0.32699059251408147,1.0
231,Floor,CHP1,0.98019356,1.1087798,0.32699059251408147,1.0
232,Floor,BTAF1,0.98019356,0.49213514,0.32699059251408147,1.0
233,Floor,ANXA2,0.98019356,1.0978354,0.32699059251408147,1.0
234,Floor,BHLHE40,0.97597766,0.86706394,0.3290755380118885,1.0
235,Floor,PPP1R11,0.9738697,1.7373685,0.3301212345232756,1.0
236,Floor,LARP1B,0.9738697,1.7373685,0.3301212345232756,1.0
237,Floor,PJA2,0.97176176,1.0476357,0.33116907990934796,1.0
238,Floor,ELK3,0.96754587,1.6847646,0.3332712162871032,1.0
239,Floor,PAIP2,0.96122205,1.0899755,0.3364405305326408,1.0
240,Floor,FMNL2,0.96122205,1.8932616,0.3364405305326408,1.0
241,Floor,SMOC1,0.96122205,1.63392,0.3364405305326408,1.0
242,Floor,ARID2,0.96122205,1.0713892,0.3364405305326408,1.0
243,Floor,GNA15,0.96122205,0.78118145,0.3364405305326408,1.0
244,Floor,GLT1D1,0.96122205,1.8932616,0.3364405305326408,1.0
245,Floor,R3HDM4,0.95911413,1.7529972,0.3375012632348354,1.0
246,Floor,IRF1,0.95279026,1.1804894,0.3406963400501525,1.0
247,Floor,ERAP2,0.95279026,1.0638412,0.3406963400501525,1.0
248,Floor,DDHD1,0.94646645,1.6131095,0.3439107261569614,1.0
249,Floor,EIF3D,0.9443585,0.6617823,0.34498647701082696,1.0
250,Floor,SAT1,0.9443585,0.8142838,0.34498647701082696,1.0
251,Floor,UXT,0.94225055,0.8811643,0.34606437144449165,1.0
252,Floor,ARPP19,0.94225055,1.0530155,0.34606437144449165,1.0
253,Floor,STMN1,0.94014263,0.5587894,0.34714440893025644,1.0
254,Floor,KIAA0368,0.94014263,0.85057837,0.34714440893025644,1.0
255,Floor,TMEM258,0.93803465,0.8114272,0.3482265889203089,1.0
256,Floor,LYN,0.93592674,0.40105602,0.34931091084669075,1.0
257,Floor,EIF4G1,0.93592674,0.6227752,0.34931091084669075,1.0
